,Semana,Agencia_ID,Canal_ID,Ruta_SAK,Cliente_ID,Producto_ID,Venta_uni_hoy,Venta_hoy,Dev_uni_proxima,Dev_proxima,Demanda_uni_equil
24021345,5,1223,1,1250,4726349,1278,34,153.0,0,0.0,34
8963556,3,2073,4,6634,81001,41938,3,30.63,0,0.0,3
38825866,6,1911,1,1185,686506,35651,12,90.0,0,0.0,12
5390806,3,1556,1,2113,2177300,31470,3,32.28,0,0.0,3
20546344,4,2237,1,1101,1942224,1238,4,39.32,0,0.0,4
806857,3,1124,1,1483,853340,1220,2,15.28,0,0.0,2
67080012,9,1342,1,2104,1101133,30569,4,28.16,0,0.0,4
35121592,6,1310,1,1058,62750,73,1,21.32,0,0.0,1
46489909,7,1351,1,1275,4613376,35651,5,37.5,0,0.0,5
51873602,7,2237,1,1253,2326348,1240,5,41.9,0,0.0,5
13732608,4,1245,1,4415,83394,43064,3,24.45,0,0.0,3
29051847,5,1970,1,1103,136422,46122,2,18.14,0,0.0,2
67909126,9,1441,1,2154,2434325,43058,12,112.2,0,0.0,12
26140902,5,1420,1,2133,2020542,36823,6,27.66,0,0.0,6
27887811,5,1629,1,1619,86402,31298,4,35.56,0,0.0,4
20209080,4,2215,1,4405,308282,5328,2,16.3,0,0.0,2
36574855,6,1423,1,1201,462803,43200,1,18.24,0,0.0,1
73227121,9,3214,1,2132,594548,35305,5,31.25,0,0.0,5
44035952,7,1138,1,1420,197372,1309,8,54.08,0,0.0,8
40640808,6,2055,1,1167,662563,1212,4,33.52,0,0.0,4
10870095,3,22362,1,1238,275772,3631,4,65.4,0,0.0,4
8235309,3,2030,1,1164,1848996,1309,4,27.04,0,0.0,4
47971548,7,1585,4,6609,1031428,43014,1,16.38,0,0.0,1
69286774,9,1623,1,1036,1613436,3631,1,16.35,0,0.0,1
69690595,9,1636,1,1202,2238510,1278,46,207.0,0,0.0,46
41576368,6,2241,1,4106,2177431,5000,6,31.68,0,0.0,6
16332678,4,1550,1,1014,628526,2233,4,83.0,0,0.0,4
66488763,9,1312,1,2153,102218,30532,10,77.8,0,0.0,10
60445232,8,2015,1,1110,677561,1240,6,50.28,0,0.0,6
32431298,5,22090,1,2807,533730,43064,1,8.15,0,0.0,1
32511379,5,22362,1,1240,1302188,1250,2,15.28,0,0.0,2
18305311,4,1963,1,1004,615663,1182,9,125.46,0,0.0,9
21943333,4,22560,1,1175,798615,1242,11,84.04,0,0.0,11
61470603,8,2055,1,2053,2024477,37057,17,127.5,0,0.0,17
57082572,8,1378,1,1264,592286,1240,2,16.76,0,0.0,2
42529660,6,4051,1,1209,4313814,43209,2,13.52,0,0.0,2
2835590,3,1311,1,2125,979606,30572,10,62.5,0,0.0,10
48045051,7,1611,1,1101,1294225,1309,1,6.76,0,0.0,1
8071445,3,2021,1,1202,203718,41938,4,39.64,0,0.0,4
20698476,4,2242,1,2810,1339955,5337,1,8.15,0,0.0,1
45976278,7,1336,1,1252,558744,1242,4,30.56,0,0.0,4
60606177,8,2017,1,1293,132737,1150,1,13.96,0,0.0,1
6466184,3,1637,1,1012,999009,1146,1,21.39,0,0.0,1
38515678,6,1636,1,1111,2257537,1309,2,13.52,0,0.0,2
62324775,8,2239,1,1154,1854151,1230,3,50.01,0,0.0,3
11314209,4,1113,1,1606,1841340,31298,2,17.78,0,0.0,2
64025374,9,1117,1,1080,1269843,1109,3,45.03,0,0.0,3
13097022,4,1222,1,1001,705858,48077,11,156.86,0,0.0,11
21142684,4,3214,1,2149,596410,30532,10,77.8,0,0.0,10
4862359,3,1470,1,5531,941996,3718,2,18.0,0,0.0,2
61883968,8,2214,1,1210,1224646,1278,4,18.0,0,0.0,4
46106129,7,1339,1,2806,4479252,43069,2,14.82,0,0.0,2
24164740,5,1232,1,1010,4535218,1150,6,83.76,0,0.0,6
71878478,9,2055,1,1258,4688874,1129,1,17.6,0,0.0,1
18503075,4,2012,1,1218,584909,972,1,18.98,0,0.0,1
49413911,7,1934,11,3921,3149417,30575,21,131.25,0,0.0,21
32515452,5,22362,1,1245,4579991,41938,2,19.82,2,19.82,0
9400729,3,2229,1,2034,1757217,37057,12,90.0,0,0.0,12
63813074,9,1111,1,1420,4300558,1230,4,66.68,0,0.0,4
37991727,6,1617,1,1204,1557232,1240,4,33.52,0,0.0,4
1429445,3,1171,4,6603,1371640,1145,3,66.81,0,0.0,3
20529871,4,2235,1,2802,2501873,32933,30,206.4,0,0.0,30
33926273,6,1142,2,25,20919,43136,48,667.6800000000002,0,0.0,48
35823666,6,1340,1,2054,4493995,37058,3,22.5,0,0.0,3
14727270,4,1347,1,1051,1392804,31392,1,22.22,0,0.0,1
46455984,7,1351,1,1055,882625,2233,4,79.76,0,0.0,4
4533728,3,1447,11,3906,4427790,37058,20,150.0,0,0.0,20
62639981,8,2653,1,2133,2071829,36304,3,18.45,0,0.0,3
64751992,9,1130,1,1432,2447928,1278,8,36.0,0,0.0,8
71577294,9,2034,1,4482,253286,43316,3,24.45,0,0.0,3
18039266,4,1945,1,1063,257288,46772,12,107.04,0,0.0,12
4010192,3,1377,4,6603,4475982,5707,11,174.9,0,0.0,11
59440101,8,1680,11,5704,4535553,1146,4,85.56,0,0.0,4
42946928,6,25759,1,1021,168593,3631,4,68.68,0,0.0,4
39338320,6,1963,1,1204,615196,1109,3,45.03,0,0.0,3
74005466,9,22560,1,1261,359220,1250,12,91.68,0,0.0,12
35675428,6,1336,1,2014,4220590,37058,6,45.0,0,0.0,6
52198216,7,2653,1,1138,456366,2425,12,54.0,0,0.0,12
35028873,6,1245,1,1219,931065,1240,2,16.76,0,0.0,2
22509452,5,1118,1,1432,431753,972,1,18.98,0,0.0,1
49676998,7,1955,1,1235,572345,1250,2,15.28,0,0.0,2
35118092,6,1281,7,3309,4163063,1250,14,106.96,0,0.0,14
8885520,3,2071,1,1158,1483251,41843,7,48.02,0,0.0,7
38196942,6,1628,1,1032,84519,1146,4,85.56,0,0.0,4
53157832,7,22560,1,1228,354800,1240,4,33.52,0,0.0,4
1079140,3,1137,1,1456,882975,1232,6,109.44,0,0.0,6
63267441,8,4046,1,8004,115650,43006,4,65.4,0,0.0,4
44585196,7,1219,1,1602,1656966,4259,3,37.77,0,0.0,3
6370556,3,1634,1,2853,4502740,30572,8,50.0,0,0.0,8
17156427,4,1629,1,1272,1550824,31423,1,10.69,0,0.0,1
22484601,5,1118,1,1233,589158,1250,3,22.92,0,0.0,3
40580515,6,2054,1,1130,1407355,1212,1,8.38,0,0.0,1
20234312,4,2216,1,1215,879938,1240,16,134.08,0,0.0,16
2871218,3,1312,1,1113,381949,8921,5,40.8,0,0.0,5
18549285,4,2013,1,1107,3738,41938,5,49.55,0,0.0,5
55795688,8,1245,1,1229,714436,41938,4,39.64,0,0.0,4
54748894,8,1212,1,1613,60282,72,4,14.8,0,0.0,4
1918509,3,1220,1,2116,704266,31310,2,12.5,0,0.0,2
73164169,9,3213,1,1206,4396472,41938,2,19.82,0,0.0,2
49134714,7,1698,1,1221,2132741,34868,6,18.12,0,0.0,6
11608328,4,1119,1,1490,60860,1230,2,33.34,0,0.0,2
70623837,9,1972,1,2851,1692628,31309,6,41.64,0,0.0,6
42429400,6,4046,1,2029,417579,36408,6,24.0,0,0.0,6
215616,3,1116,1,1615,358936,325,2,16.3,0,0.0,2
23510237,5,1212,1,2104,173919,36747,4,46.12,0,0.0,4
53665071,8,1117,1,1607,358999,4245,6,62.88,0,0.0,6
29323848,5,2014,1,1229,7593034,1278,10,45.0,0,0.0,10
10300056,3,3219,1,1655,2372976,9217,1,9.0,0,0.0,1
18634511,4,2014,1,1003,2047225,1125,6,57.6,0,0.0,6
17589060,4,1682,11,5703,83165,2233,6,119.64,0,0.0,6
66427398,9,1312,1,1003,3206701,1160,2,37.72,0,0.0,2
25226527,5,1336,1,2003,261827,43274,6,31.14,0,0.0,6
60444440,8,2015,1,1109,533906,1242,12,91.68,0,0.0,12
11191741,4,1111,1,1204,2433831,1212,1,8.38,0,0.0,1
21916358,4,22414,1,1113,267054,1242,2,15.28,3,22.92,0
71470758,9,2032,1,1254,236573,46772,2,17.84,0,0.0,2
7979841,3,2019,1,1205,1310157,1146,1,21.39,0,0.0,1
52013387,7,2263,1,1121,2486715,972,1,19.54,0,0.0,1
25349966,5,1339,1,5001,357503,30236,1,29.05,0,0.0,1
35092100,6,1262,4,6605,4294969,1250,21,161.7,0,0.0,21
54410554,8,1137,1,1642,2095699,31717,2,12.0,0,0.0,2
50030264,7,2013,1,2861,4545611,43285,8,42.24,0,0.0,8
38418414,6,1633,1,1106,103902,41938,5,49.55,0,0.0,5
55961210,8,1311,1,1171,8380855,41938,2,19.82,0,0.0,2
38395020,6,1632,1,1218,4297939,1309,2,13.52,0,0.0,2
56867546,8,1349,1,1234,2341532,41938,1,9.91,0,0.0,1
11255087,4,1112,1,1403,324663,1309,3,20.28,0,0.0,3
16644149,4,1612,1,2823,4672054,43307,4,21.12,0,0.0,4
47555784,7,1491,4,6616,9704929,32841,9,115.2,0,0.0,9
15137869,4,1384,1,1213,1295784,1150,2,27.92,0,0.0,2
38915669,6,1912,1,1136,1947045,972,1,18.98,0,0.0,1
36808411,6,1451,1,1160,702145,43206,40,180.0,0,0.0,40
56499625,8,1338,1,1005,437524,1146,6,128.34,0,0.0,6
8331013,3,2032,1,1062,241681,1150,2,27.92,0,0.0,2
41680160,6,2276,1,1013,318322,6469,12,171.12,0,0.0,12
5715643,3,1614,1,4501,661999,3402,2,75.92,0,0.0,2
23227240,5,1138,1,1601,4476095,33734,2,15.0,0,0.0,2
65372225,9,1218,1,1215,1198024,1250,8,61.12,0,0.0,8
30486868,5,2057,1,2155,4341526,33871,4,31.12,0,0.0,4
3130591,3,1332,1,1207,4247497,1238,1,9.83,0,0.0,1
59636507,8,1911,1,2170,101033,32940,4,31.12,0,0.0,4
41146953,6,2216,1,1152,804969,34868,6,18.12,0,0.0,6
21080304,4,3213,1,1434,4183962,1242,4,30.56,0,0.0,4
7000003,3,1914,4,6608,2479360,4270,3,28.14,0,0.0,3
44091311,7,1140,1,1239,695052,41938,4,39.64,0,0.0,4
26576972,5,1462,1,4502,4105538,31507,1,6.25,0,0.0,1
8271512,3,2030,1,2866,4655480,30572,2,12.5,0,0.0,2
41573872,6,2241,1,2905,405066,35112,3,28.05,0,0.0,3
34493831,6,1222,1,1625,53427,4259,12,151.08,0,0.0,12
13539263,4,1237,1,2869,488966,43033,2,12.3,0,0.0,2
16191145,4,1535,1,1002,884522,1150,1,13.96,0,0.0,1
17679073,4,1698,1,6511,168189,2505,2,15.04,0,0.0,2
21238872,4,3217,1,1608,117214,4259,1,12.59,0,0.0,1
59279236,8,1636,1,1209,471181,1109,2,30.02,0,0.0,2
66891023,9,1337,1,1123,185030,1242,2,15.28,0,0.0,2
22328990,5,1114,2,40,22107,43060,48,898.56,0,0.0,48
69910466,9,1697,1,1266,4613867,1250,3,22.92,0,0.0,3
20983930,4,3211,1,1410,730563,1238,2,19.66,0,0.0,2
6418234,3,1636,1,1011,471667,1125,3,28.8,0,0.0,3
39020595,6,1914,4,6609,4485193,1150,30,441.0,0,0.0,30
16417788,4,1555,1,2036,4189608,43316,1,8.89,0,0.0,1
54982795,8,1219,1,1001,579802,1109,3,45.03,0,0.0,3
15277009,4,1419,1,1287,1747729,46876,1,8.92,0,0.0,1
2795265,3,1311,1,1179,807943,3270,2,20.94,0,0.0,2
6747199,3,1911,1,1135,1726881,1250,5,38.2,0,0.0,5
51760746,7,2233,1,1104,149627,1242,3,22.92,0,0.0,3
46226884,7,1344,1,1221,1448177,1150,1,13.96,0,0.0,1
63694464,8,23899,1,4502,2281108,1278,3,13.5,0,0.0,3
73567929,9,4040,1,1202,425940,43206,10,45.0,0,0.0,10
42833374,6,23669,1,6505,246211,31298,2,17.78,0,0.0,2
24690933,5,1310,1,2806,2208623,30575,4,25.0,0,0.0,4
12641666,4,1213,1,1015,2386277,1125,10,96.0,0,0.0,10
54121419,8,1124,1,1229,4445731,1220,2,15.28,0,0.0,2
72438606,9,2218,1,1203,4253937,1125,6,62.4,0,0.0,6
37398932,6,1538,1,2150,325946,32933,4,28.16,0,0.0,4
27815026,5,1626,1,2842,1545234,32934,2,14.08,0,0.0,2
11458198,4,1117,1,1460,1072344,1230,1,16.67,0,0.0,1
18718621,4,2015,1,1228,577349,1284,4,12.08,0,0.0,4
2284898,3,1232,1,5007,480445,32815,3,21.15,0,0.0,3
19171753,4,2029,1,2126,19849,30532,40,311.2,0,0.0,40
7605763,3,2013,1,1208,1701165,1125,5,48.0,0,0.0,5
61140767,8,2036,1,1017,265182,1150,1,13.96,0,0.0,1
7320206,3,1956,1,1010,138019,1144,132,2489.52,0,0.0,132
32076238,5,4037,1,2115,137057,32864,2,18.7,0,0.0,2
71744925,9,2044,1,1244,4629843,1150,1,13.96,0,0.0,1
22719653,5,1121,1,4417,1495269,43316,1,8.15,0,0.0,1
3386193,3,1338,1,1206,204328,1212,2,16.76,0,0.0,2
54021484,8,1123,1,1246,623503,1284,4,12.08,0,0.0,4
62059890,8,2222,1,1103,766734,1240,5,41.9,0,0.0,5
17791272,4,1911,1,2157,2448680,30572,20,125.0,0,0.0,20
20305547,4,2220,1,1022,2174562,1169,25,491.5,0,0.0,25
21572529,4,4046,1,1027,1839257,34089,16,153.6,0,0.0,16
60822183,8,2022,1,2851,2008889,43065,2,13.52,0,0.0,2
72656202,9,2235,1,2807,55282,31470,3,29.97,0,0.0,3
34946320,6,1239,1,2808,132876,43069,4,29.64,0,0.0,4
55081569,8,1220,1,1209,1780586,1250,5,38.2,0,0.0,5
27511305,5,1614,1,1238,1764434,1284,1,3.02,0,0.0,1
57663157,8,1461,1,1101,2162119,36711,3,22.5,0,0.0,3
51661684,7,2229,1,1022,2222502,1147,3,36.0,0,0.0,3
45848550,7,1333,1,1130,986519,35651,17,127.5,0,0.0,17
28624134,5,1914,1,2053,882059,32303,3,18.0,0,0.0,3
3139551,3,1332,1,2061,261822,32303,3,18.0,0,0.0,3
11907785,4,1123,1,1606,1185463,9217,2,18.0,0,0.0,2
70657854,9,2011,4,6622,4245530,41938,5,51.05,0,0.0,5
49602718,7,1954,1,1277,2381847,2425,20,90.0,0,0.0,20
54125352,8,1124,1,1621,1442045,202,7,286.65,0,0.0,7
56086258,8,1312,1,2172,69451,34056,2,12.5,0,0.0,2
6696445,3,1698,1,1102,764530,1238,1,9.83,0,0.0,1
36410378,6,1387,1,2104,4206513,43058,2,18.7,0,0.0,2
50323269,7,2018,4,4903,7450703,4245,33,393.36,0,0.0,33
67336429,9,1351,1,1153,119852,35651,6,45.0,0,0.0,6
33129553,6,1118,1,1428,72628,1242,8,61.12000000000001,0,0.0,8
56089984,8,1312,1,2854,633570,43285,10,52.8,0,0.0,10
4655634,3,1459,1,5501,663535,34226,2,17.12,0,0.0,2
56186893,8,1330,1,1254,7934912,1242,2,15.28,0,0.0,2
58102842,8,1539,4,6651,990419,43305,10,50.4,0,0.0,10
38983362,6,1914,1,1132,4564193,1242,3,22.92,0,0.0,3
4984719,3,1479,4,6605,29468,36537,6,27.3,0,0.0,6
41987320,6,3214,1,1631,2388920,35452,5,22.2,0,0.0,5
35868957,6,1342,1,2103,379989,34226,2,17.12,0,0.0,2
15679529,4,1453,1,2132,4535902,32937,1,7.04,0,0.0,1
1277310,3,1143,6,3236,321836,37057,10,75.0,0,0.0,10
32964537,6,1116,1,1166,631155,972,3,56.94,0,0.0,3
4193363,3,1419,1,1173,179572,36711,1,7.5,0,0.0,1
23534401,5,1213,1,1222,501139,1232,2,36.48,0,0.0,2
72381743,9,2216,1,1203,4110835,34868,3,9.06,0,0.0,3
43770819,7,1126,1,1042,431754,46772,5,44.6,0,0.0,5
69660728,9,1635,1,1231,4693143,1125,5,48.0,0,0.0,5
14678171,4,1344,1,5002,407909,43000,6,22.2,0,0.0,6
66888132,9,1337,1,1025,2457300,1150,8,111.68,0,0.0,8
2622183,3,1245,1,1237,349547,1238,2,19.66,0,0.0,2
60389789,8,2013,1,5008,437761,32815,2,14.1,0,0.0,2
34694811,6,1232,1,1114,199666,31423,1,10.69,0,0.0,1
259727,3,1117,1,1078,417027,1146,1,21.39,0,0.0,1
71876672,9,2055,1,1256,4521159,1240,5,41.9,0,0.0,5
71630303,9,2037,1,1214,1447957,35651,1,7.5,0,0.0,1
60555293,8,2016,1,1328,4653274,32322,2,16.0,0,0.0,2
46987407,7,1431,1,2108,679467,31310,2,12.5,0,0.0,2
38373316,6,1631,1,4408,1188500,35453,4,17.76,0,0.0,4
1236545,3,1140,1,1627,826432,4280,5,30.0,0,0.0,5
61273930,8,2043,1,1152,2060611,1240,7,58.66,0,0.0,7
33981294,6,1155,4,1852,2128631,42084,6,92.76,0,0.0,6
35398926,6,1315,1,5053,96569,43040,4,24.0,0,0.0,4
33614284,6,1126,1,1427,610291,1230,1,16.67,0,0.0,1
26116658,5,1420,1,1116,181206,43251,3,31.41,0,0.0,3
62212104,8,2234,1,4510,1605692,5380,1,7.41,0,0.0,1
52231606,7,2653,1,2122,748507,36304,2,12.3,0,0.0,2
28254843,5,1660,2,1507,2366657,35148,10,200.9,0,0.0,10
19894879,4,2071,1,2137,3208692,30572,3,18.75,0,0.0,3
35535632,6,1333,1,1223,4189398,2425,30,135.0,0,0.0,30
9282785,3,2217,1,1234,316047,34053,2,9.0,0,0.0,2
68709024,9,1554,1,2802,4431104,43274,2,11.86,0,0.0,2
371051,3,1118,1,1425,598847,1216,1,8.38,0,0.0,1
37995050,6,1617,1,1209,2427287,45143,40,30.0,0,0.0,40
60700338,8,2019,1,1214,293329,1146,2,42.78,0,0.0,2
25722411,5,1351,1,1250,2151950,8940,6,48.0,0,0.0,6
28705145,5,1936,1,5009,4616480,43040,4,24.0,0,0.0,4
2097802,3,1223,1,4458,402705,31625,3,39.72,0,0.0,3
54340608,8,1130,1,1427,699832,1230,1,16.67,0,0.0,1
57575688,8,1451,1,2854,1515522,43058,8,74.8,0,0.0,8
30996823,5,2218,1,2114,464306,32933,8,59.28,0,0.0,8
32856979,6,1111,1,4415,73543,34226,2,17.12,0,0.0,2
5136460,3,1535,1,2103,592464,30571,20,125.0,0,0.0,20
31900313,5,3221,1,1618,59257,31298,4,35.56,0,0.0,4
19730023,4,2055,1,1069,1772751,2233,4,79.76,0,0.0,4
54390839,8,1137,1,1465,4569865,1309,4,27.04,0,0.0,4
62545258,8,2642,2,1504,1644831,33267,15,813.9,0,0.0,15
46167748,7,1340,1,5001,158125,32303,1,6.0,0,0.0,1
31996831,5,4013,4,4902,15949,43200,12,225.0,0,0.0,12
8607402,3,2043,1,4511,1434309,1250,1,7.64,0,0.0,1
68597799,9,1544,4,6605,163192,1238,1,11.18,2,22.36,0
60337008,8,2013,1,1215,2560,1160,2,37.72,0,0.0,2
47602618,7,1531,1,1262,4128047,2233,3,59.82,0,0.0,3
28995755,5,1963,1,2004,1889737,43040,10,60.0,0,0.0,10
11926612,4,1123,1,2805,1083901,35113,2,18.7,0,0.0,2
45026257,7,1235,1,1001,4339793,1109,3,45.03,0,0.0,3
23810150,5,1220,1,1220,638857,1220,3,22.92,0,0.0,3
53379345,8,1111,1,1012,315826,3631,6,98.1,0,0.0,6
10449082,3,4037,1,1163,2047714,43210,1,6.77,0,0.0,1
51092766,7,2055,1,5056,4620380,4280,4,24.0,0,0.0,4
56585595,8,1340,1,1155,4123018,42434,8,36.64,0,0.0,8
1332432,3,1153,1,1209,357878,1284,10,30.2,0,0.0,10
34443022,6,1221,1,4421,60881,43068,10,38.4,0,0.0,10
27140005,5,1550,1,1205,2334521,2233,1,20.75,1,20.75,0
68524663,9,1535,1,1004,588738,43231,2,39.88,0,0.0,2
68231419,9,1470,1,1141,4637276,43200,2,36.48,0,0.0,2
49115327,7,1697,1,2113,4218125,37361,2,12.5,0,0.0,2
26175428,5,1423,1,1225,4225424,34215,1,15.01,0,0.0,1
41630817,6,2263,1,1225,1440629,41938,1,10.56,0,0.0,1
30870506,5,2215,1,1010,2225531,1146,30,641.7,0,0.0,30
64017148,9,1117,1,1063,357208,32802,2,23.82,0,0.0,2
35393972,6,1315,1,2861,4501795,30532,15,116.7,0,0.0,15
73963789,9,22362,4,6610,6006255,40985,23,193.2,0,0.0,23
29926586,5,2031,1,1211,4716382,35651,4,30.0,0,0.0,4
1936105,3,1221,1,2103,62927,31310,3,18.75,0,0.0,3
72922690,9,2627,4,6615,34430,1120,42,884.94,0,0.0,42
31630650,5,3211,1,1008,1781654,32802,3,35.73,0,0.0,3
881819,3,1126,1,1418,580278,1230,2,33.34,0,0.0,2
14855321,4,1349,1,1224,1598176,35651,9,67.5,0,0.0,9
66725731,9,1333,1,1121,4209852,2425,5,22.5,0,0.0,5
37017934,6,1463,1,2111,2105442,31310,1,6.25,0,0.0,1
65264743,9,1215,1,2102,1291312,37361,4,25.0,0,0.0,4
50007840,7,2013,1,2004,2578,43066,6,57.78,0,0.0,6
38665894,6,1675,4,6606,2076371,41938,5,51.05,0,0.0,5
17814102,4,1912,1,1007,216926,1109,4,60.04,0,0.0,4
21120185,4,3214,1,1612,681728,35452,5,22.2,0,0.0,5
67905069,9,1441,1,1233,4374433,43118,1,9.91,0,0.0,1
69918486,9,1697,1,2824,599223,31512,1,9.99,0,0.0,1
17690357,4,1911,1,1039,93894,1125,3,28.8,0,0.0,3
21468238,4,4040,1,1001,231953,34292,2,32.7,0,0.0,2
30240088,5,2043,1,2854,4100059,31512,2,19.98,0,0.0,2
63349599,8,4051,1,1227,2019486,34089,3,28.8,0,0.0,3
9864563,3,2629,1,1250,271302,1146,2,42.78,0,0.0,2
63590542,8,22560,1,1259,345373,693,16,153.6,0,0.0,16
38413789,6,1633,1,1032,107970,48417,5,22.9,0,0.0,5
47329883,7,1463,1,2840,2277625,43307,10,52.8,0,0.0,10
31426020,5,2263,1,2806,4428139,31470,1,10.76,1,10.76,0
66455762,9,1312,1,1122,302226,1238,3,29.49,0,0.0,3
51953064,7,2240,1,1223,4629810,1238,2,19.66,0,0.0,2
67744278,9,1420,1,2137,179029,30532,4,31.12,0,0.0,4
24981187,5,1331,1,1007,783152,1160,1,18.86,0,0.0,1
62711726,8,3212,1,1601,4387733,45143,160,120.0,0,0.0,160
59540516,8,1911,1,1039,1806427,1109,1,15.01,0,0.0,1
26826199,5,1476,4,4906,4648672,37006,10,85.0,0,0.0,10
69696420,9,1636,1,1211,1228480,46772,1,8.92,0,0.0,1
15234106,4,1415,1,2110,223773,43033,6,36.9,0,0.0,6
71424027,9,2031,1,1208,232865,1240,12,100.56,0,0.0,12
64510101,9,1124,1,1022,2482722,2233,2,39.88,0,0.0,2
5779754,3,1616,1,1216,2316329,1284,10,30.2,0,0.0,10
28620336,5,1914,1,1235,2085907,1240,5,41.9,0,0.0,5
21125949,4,3214,1,1618,1268649,4259,7,88.13,0,0.0,7
21960528,4,22560,1,1230,2096752,41938,6,59.46,0,0.0,6
11261263,4,1112,1,1411,333965,30946,5,18.75,8,30.0,0
21724262,4,4051,1,2004,123012,43307,5,26.4,0,0.0,5
61695312,8,2072,1,2851,4425118,43069,4,29.64,0,0.0,4
70501835,9,1956,1,2004,1385549,43069,4,29.64,0,0.0,4
24120783,5,1227,1,1259,437044,1146,1,21.39,0,0.0,1
68386183,9,1477,4,7055,2488731,43197,10,84.5,0,0.0,10
15740850,4,1461,1,2001,143895,43316,6,48.9,0,0.0,6
9973434,3,2653,1,1245,4607831,37359,0,0.0,3,24.0,0
71155156,9,2019,1,2103,130384,43058,1,9.35,0,0.0,1
48454103,7,1622,1,1270,4669541,41938,2,19.82,0,0.0,2
63691909,8,23899,1,4101,1121550,37057,11,82.5,0,0.0,11
28319357,5,1692,11,3908,817923,32936,10,70.4,0,0.0,10
2930392,3,1312,1,5007,1469887,43040,4,24.0,0,0.0,4
42051904,6,3217,1,1005,115409,32322,3,24.0,0,0.0,3
37805615,6,1612,1,2832,2463705,43307,4,21.12,0,0.0,4
14535517,4,1340,1,1066,2455897,1150,2,27.92,0,0.0,2
49193337,7,1911,1,1167,1506360,1284,15,45.3,0,0.0,15
16750740,4,1614,1,1601,333585,9217,1,9.0,0,0.0,1
37524092,6,1550,1,1208,4482584,31847,3,34.62,1,11.54,2
47028051,7,1441,1,1039,1450698,34213,4,79.76,0,0.0,4
2124058,3,1224,1,2164,531297,30575,13,81.25,0,0.0,13
17428000,4,1636,1,2806,537702,30575,2,12.5,0,0.0,2
24364912,5,1237,1,1268,1440735,1250,1,7.64,0,0.0,1
41237685,6,2220,1,1224,2024801,34053,3,15.9,3,15.9,0
35012163,6,1245,1,1114,1003873,1238,2,19.66,0,0.0,2
23316239,5,1146,4,6607,9687390,1212,7,59.15,0,0.0,7
58743038,8,1617,1,4404,2285201,36598,2,16.86,0,0.0,2
41589044,6,2245,2,1501,31930,34204,132,2597.76,0,0.0,132
25143101,5,1334,1,2101,1209850,30572,5,31.25,0,0.0,5
35437390,6,1331,1,1008,1675143,1150,3,41.88,0,0.0,3
46803639,7,1419,1,1190,177276,43207,15,45.3,0,0.0,15
40580121,6,2054,1,1130,207889,42434,9,41.22,0,0.0,9
59413111,8,1671,2,1504,4541145,43039,60,516.6,0,0.0,60
69716274,9,1636,1,4410,1439334,37058,2,15.0,7,52.5,0
